시군구,어린이집명,어린이집유형,운영현황,통학차량운영여부
강북구,꿈꾸는 어린이집,협동,정상,미운영
강북구,신기어린이집,민간,정상,운영
강북구,구립새싹어린이집,국공립,정상,운영
강북구,꿈의숲어린이집,가정,정상,미운영
강북구,쿠키어린이집,가정,정상,미운영
강북구,세종어린이집,민간,정상,운영
강북구,i-월드어린이집,민간,정상,운영
강북구,솔로몬영재어린이집,민간,정상,운영
강북구,청화어린이집,민간,정상,운영
강북구,두산위브어린이집,가정,정상,미운영
강북구,기쁨어린이집,가정,정상,미운영
강북구,동심어린이집,민간,정상,운영
강북구,즐거운숲어린이집,가정,재개,미운영
강북구,구립해맑은어린이집,국공립,정상,미운영
강북구,새봄어린이집,민간,정상,운영
강북구,두란노어린이집,가정,정상,미운영
강북구,푸른솔어린이집,민간,정상,운영
강북구,구립동그라미어린이집,국공립,정상,미운영
강북구,한올어린이집,민간,정상,운영
강북구,요한어린이집,국공립,정상,미운영
강북구,제일어린이집,민간,정상,운영
강북구,사과나무어린이집,가정,재개,미운영
강북구,솔샘어린이집,가정,정상,미운영
강북구,미아한올어린이집,민간,정상,운영
강북구,삼성어린이집,민간,정상,운영
강북구,별밭어린이집,민간,정상,운영
강북구,윤슬어린이집,가정,정상,미운영
강북구,구립삼각산꾸러기어린이집,국공립,정상,미운영
강북구,꿈의어린이집,가정,정상,미운영
강북구,아이맘어린이집,민간,정상,운영
강북구,구립참행복한어린이집,국공립,재개,미운영
강북구,지성어린이집,민간,정상,운영
강북구,효성어린이집,민간,정상,운영
강북구,무지개유아스쿨어린이집,민간,정상,운영
